experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
128,normal,0.2063,17.0,17.0,0.0,0.0
128,compromised,0.2382999999999999,26.0,29.0,0.16,0.05
129,normal,0.1803,13.0,20.5,0.0,0.0
129,compromised,0.6619999999999999,9.0,13.0,0.03,0.01
130,normal,0.4009,10.5,30.5,0.0,0.0
130,compromised,0.3081,21.0,17.5,0.03,0.0
131,normal,0.2904,14.0,15.0,0.0,0.0
131,compromised,0.9212,15.5,34.5,0.08,0.05
132,normal,0.092,16.0,30.0,0.0,0.0
132,compromised,0.5699000000000001,13.0,17.0,0.1300000000000001,0.1
133,normal,0.1097,21.0,21.0,0.0,0.0
133,compromised,0.8276,20.5,35.5,0.08,0.08
134,normal,0.2562,19.0,24.0,0.0,0.0
134,compromised,0.1230999999999999,11.5,18.0,0.07,0.04
135,normal,0.1012,16.5,28.5,0.0,0.0
135,compromised,0.973,0.0,0.0,0.0,0.0
136,normal,0.1248,16.0,17.5,0.0,0.0
136,compromised,0.748,26.0,42.0,0.02,0.02
137,normal,0.3971,13.5,24.5,0.0,0.0
137,compromised,0.5559999999999999,17.0,22.0,0.03,0.03
138,normal,0.2408999999999999,7.0,23.0,0.0,0.0
138,compromised,0.881,0.0,0.0,0.0,0.0
139,normal,0.8706,15.5,21.0,0.0,0.0
139,compromised,1.0616,17.5,61.5,0.1999999999999999,0.16
140,normal,0.2366,8.0,19.0,0.0,0.0
140,compromised,0.9116,32.0,27.0,0.1300000000000001,0.09
141,normal,0.4105,9.5,27.5,0.0,0.0
141,compromised,0.7826,15.0,16.0,0.0,0.0
142,normal,0.2824,7.0,23.0,0.0,0.0
142,compromised,1.2588,22.5,35.5,0.0,0.0
143,normal,0.3091,12.0,14.5,0.0,0.0
143,compromised,0.9596,22.0,29.0,0.3799999999999999,0.38
144,normal,0.187,13.0,13.5,0.0,0.0
144,compromised,0.241,13.0,14.5,0.1399999999999999,0.14
145,normal,0.3428,7.5,12.0,0.0,0.0
145,compromised,1.0752000000000002,16.5,34.5,0.0,0.0
146,normal,0.1697,9.5,28.0,0.0,0.0
146,compromised,0.3171,32.5,25.0,0.1399999999999999,0.13
147,normal,0.2213999999999999,20.0,26.0,0.0,0.0
147,compromised,0.7335999999999999,23.5,21.5,0.2099999999999999,0.21
148,normal,0.0511999999999999,13.5,16.0,0.0,0.0
148,compromised,1.9878,12.5,14.0,0.08,0.07
149,normal,0.128,30.0,30.0,0.0,0.0
149,compromised,0.1502,15.0,31.5,0.1,0.07
150,normal,1.1943,0.0,0.0,0.0,0.0
150,compromised,0.4137,13.5,19.5,0.0799999999999999,0.0
151,normal,0.2123,16.5,26.5,0.0,0.0
151,compromised,0.4351,15.5,21.5,0.1799999999999999,0.18
152,normal,0.1408,18.0,21.0,0.0,0.0
152,compromised,1.2587000000000002,13.0,41.0,0.0,0.0
153,normal,0.214,11.0,21.5,0.0,0.0
153,compromised,0.2804999999999999,14.5,26.5,0.1599999999999999,0.14
154,normal,0.685,12.0,17.0,0.0,0.0
154,compromised,1.1181,16.0,16.0,0.0,0.0
155,normal,0.1553,12.0,20.0,0.0,0.0
155,compromised,0.1158,13.0,19.5,0.1799999999999999,0.18
156,normal,0.197,6.5,19.5,0.0,0.0
156,compromised,0.1376,15.0,28.5,0.1399999999999999,0.14
157,normal,0.3379999999999999,15.0,23.0,0.0,0.0
157,compromised,0.9677,22.5,45.0,0.02,0.02
158,normal,0.1563999999999999,12.5,25.5,0.0,0.0
158,compromised,0.2409,10.0,26.0,0.1699999999999999,0.17
159,normal,0.1922,12.5,14.0,0.0,0.0
159,compromised,0.4229,12.0,32.0,0.0,0.0
160,normal,0.1699,30.5,29.5,0.0,0.0
