experiment,label,SPI,PFSI,TFSI,PPR,PPD
174.0,compromised,0.3896,66.0,82.0,0.98,0.0
175.0,normal,0.1019,17.0,65.0,1.0,0.0
175.0,compromised,0.3653,67.33,85.33,0.99,0.0
176.0,normal,0.136,30.0,30.0,1.0,0.0
176.0,compromised,0.9569,74.33,90.33,1.01,0.01
177.0,normal,0.1792,24.5,47.5,1.0,0.0
177.0,compromised,0.7104,53.67,85.67,1.0,0.0
178.0,normal,0.1363,5.0,37.0,1.0,0.0
178.0,compromised,0.261,0.5,42.5,1.02,0.02
179.0,normal,0.1035,11.0,48.0,1.0,0.0
179.0,compromised,0.5288,57.33,73.33,1.0,0.0
180.0,normal,0.0875,32.5,56.5,1.0,0.0
180.0,compromised,0.3414,57.67,77.33,1.1,0.1
181.0,normal,0.1127,2.5,20.5,1.0,0.0
181.0,compromised,0.6066,123.67,128.67,1.05,0.05
182.0,normal,0.12,19.5,29.5,1.0,0.0
182.0,compromised,0.6135,72.0,84.0,1.1,0.1
183.0,normal,0.1355,5.0,45.0,1.0,0.0
183.0,compromised,0.1155,4.0,58.0,1.04,0.04
184.0,normal,0.1303,4.5,22.5,1.0,0.0
184.0,compromised,0.0926,24.0,38.0,1.02,0.02
185.0,normal,0.1662,43.0,0.0,1.0,0.0
185.0,compromised,0.2891,46.0,46.0,1.0,0.0
186.0,normal,0.1606,19.0,57.0,1.0,0.0
186.0,compromised,0.4162,53.33,75.33,1.0,0.0
187.0,normal,0.1594,0.0,0.0,0.0,0.0
187.0,compromised,0.4039,49.5,49.5,1.07,0.07
188.0,normal,0.212,12.0,30.0,1.0,0.0
188.0,compromised,0.3657,44.0,51.0,1.01,0.01
189.0,normal,0.1195,1.0,36.0,1.0,0.0
189.0,compromised,0.2528,57.67,71.33,1.04,0.04
190.0,normal,0.2288,6.5,41.5,1.0,0.0
190.0,compromised,0.1846,47.67,73.33,1.02,0.02
191.0,normal,0.1081,1.0,40.0,1.0,0.0
191.0,compromised,0.6938,96.67,128.33,1.05,0.05
192.0,normal,0.1405,3.0,12.0,1.0,0.0
192.0,compromised,1.0648,61.33,63.67,1.03,0.03
193.0,normal,0.1501,24.5,26.5,1.0,0.0
193.0,compromised,0.0732,19.0,35.0,1.06,0.06
194.0,normal,0.1155,46.0,46.0,1.0,0.0
194.0,compromised,0.5588,62.0,80.0,1.05,0.05
195.0,normal,0.2132,40.0,40.0,1.0,0.0
195.0,compromised,0.6331,79.33,93.33,1.04,0.04
196.0,normal,0.0919,39.5,24.5,1.0,0.0
196.0,compromised,0.1615,44.0,53.0,1.01,0.01
197.0,normal,0.1875,28.0,33.0,1.0,0.0
197.0,compromised,0.6547,47.67,55.67,1.0,0.0
198.0,normal,0.1544,23.5,49.5,1.0,0.0
198.0,compromised,0.3957,54.33,68.33,1.0,0.0
199.0,normal,0.1649,29.0,30.0,1.0,0.0
199.0,compromised,0.133,28.5,30.5,0.92,0.0
200.0,normal,0.1397,41.0,42.0,1.0,0.0
200.0,compromised,0.6604,63.5,63.5,0.0,0.0
201.0,normal,0.2551,34.0,34.0,1.0,0.0
201.0,compromised,0.5692,47.67,47.67,1.0,0.0
202.0,normal,0.0513,7.5,33.5,1.0,0.0
202.0,compromised,0.1366,59.67,65.33,1.02,0.02
203.0,normal,0.0957,20.0,44.0,1.0,0.0
203.0,compromised,0.9775,65.33,67.33,1.02,0.02
204.0,normal,0.1278,14.0,6.0,1.0,0.0
204.0,compromised,0.1482,46.33,46.33,1.0,0.0
205.0,normal,0.212,27.0,27.0,1.0,0.0
205.0,compromised,0.9101,55.33,61.67,1.08,0.08
206.0,normal,0.1178,9.5,29.5,1.0,0.0
206.0,compromised,0.2178,50.67,60.33,1.0,0.0
207.0,normal,0.1172,31.0,42.0,1.0,0.0
207.0,compromised,0.1769,30.0,52.0,1.03,0.03
208.0,normal,0.2007,27.0,44.0,1.0,0.0
208.0,compromised,0.3311,67.33,84.33,1.0,0.0
209.0,normal,0.1612,10.5,30.5,1.0,0.0
209.0,compromised,0.3749,3.0,44.0,1.06,0.06
210.0,normal,0.1145,18.0,18.0,1.0,0.0
210.0,compromised,0.136,15.0,24.0,1.01,0.01
211.0,normal,0.1602,21.0,21.0,1.0,0.0
211.0,compromised,0.5076,67.33,67.33,1.04,0.04
212.0,normal,0.2374,0.0,0.0,0.0,0.0
212.0,compromised,0.8254,83.67,92.33,1.1,0.1
213.0,normal,0.1678,6.0,45.0,1.0,0.0
213.0,compromised,1.0915,76.33,106.33,1.09,0.09
214.0,normal,0.1036,39.0,52.0,1.0,0.0
214.0,compromised,0.8009,68.33,98.33,1.0,0.0
215.0,normal,0.152,0.0,0.0,0.0,0.0
215.0,compromised,0.2337,85.67,100.67,1.03,0.03
216.0,normal,0.0751,22.0,40.0,1.0,0.0
216.0,compromised,0.23,28.0,48.0,1.07,0.07
217.0,normal,0.1239,18.5,54.5,1.0,0.0
217.0,compromised,0.6948,73.33,98.33,1.02,0.02
218.0,normal,0.1585,33.0,0.0,1.0,0.0
218.0,compromised,0.1565,4.0,27.0,1.01,0.01
219.0,normal,0.1168,8.5,53.5,1.0,0.0
219.0,compromised,0.4013,55.67,62.33,1.05,0.05
220.0,normal,0.1296,19.0,38.0,1.0,0.0
220.0,compromised,0.3777,63.0,81.0,0.98,0.0
221.0,normal,0.0922,7.0,38.0,1.0,0.0
221.0,compromised,0.093,46.33,64.67,1.0,0.0
222.0,normal,0.1429,12.0,34.0,1.0,0.0
222.0,compromised,0.4549,59.33,80.33,1.0,0.0
223.0,normal,0.3418,13.0,0.0,1.0,0.0
223.0,compromised,0.2811,92.0,120.0,1.03,0.03
224.0,normal,0.1107,33.0,33.0,1.0,0.0
224.0,compromised,0.1693,43.5,43.5,1.04,0.04
225.0,normal,0.1031,27.0,53.0,1.0,0.0
225.0,compromised,0.6522,72.67,75.33,1.0,0.0
226.0,normal,0.1814,29.5,39.5,1.0,0.0
226.0,compromised,0.2798,68.67,88.33,0.98,0.0
227.0,normal,0.1841,0.0,0.0,0.0,0.0
227.0,compromised,0.7733,104.33,141.67,1.03,0.03
228.0,normal,0.1474,51.0,64.0,1.0,0.0
228.0,compromised,0.1267,0.0,0.0,0.0,0.0
229.0,normal,0.0911,33.5,40.5,1.0,0.0
229.0,compromised,0.2109,26.0,44.0,0.99,0.0
230.0,normal,0.1072,7.5,42.5,1.0,0.0
230.0,compromised,0.4418,80.0,80.0,1.09,0.09
231.0,normal,0.1047,27.0,25.0,1.0,0.0
231.0,compromised,0.4853,67.67,92.33,1.0,0.0
232.0,normal,0.163,8.0,37.0,1.0,0.0
232.0,compromised,0.277,44.0,60.0,0.99,0.0
233.0,normal,0.1388,5.0,24.0,1.0,0.0
233.0,compromised,0.2149,35.0,35.0,1.02,0.02
234.0,normal,0.0859,9.0,35.0,1.0,0.0
234.0,compromised,0.2635,30.0,0.0,1.03,0.03
235.0,normal,0.0859,38.5,62.5,1.0,0.0
235.0,compromised,0.7843,82.0,96.0,1.01,0.01
236.0,normal,0.1097,36.0,36.0,1.0,0.0
236.0,compromised,0.682,53.33,64.67,1.08,0.08
237.0,normal,0.2388,26.5,46.5,1.0,0.0
237.0,compromised,0.65,70.0,93.0,1.03,0.03
238.0,normal,0.1088,18.0,44.0,1.0,0.0
238.0,compromised,0.0928,67.33,88.67,1.02,0.02
239.0,normal,0.214,1.0,30.0,1.0,0.0
239.0,compromised,0.5771,76.67,82.33,1.06,0.06
240.0,normal,0.1153,7.0,38.0,1.0,0.0
240.0,compromised,0.0851,13.0,32.0,1.02,0.02
241.0,normal,0.1203,5.0,44.0,1.0,0.0
241.0,compromised,0.2597,66.33,90.67,1.0,0.0
242.0,normal,0.0519,36.0,72.0,1.0,0.0
242.0,compromised,0.1837,57.5,79.5,1.03,0.03
243.0,normal,0.092,16.0,29.0,1.0,0.0
243.0,compromised,0.31,47.33,47.33,0.96,0.0
244.0,normal,0.1599,17.5,50.5,1.0,0.0
244.0,compromised,0.2233,108.67,115.33,1.06,0.06
245.0,normal,0.1155,12.0,38.0,1.0,0.0
