experiment,label,SPI,PFSI,TFSI,PPR,PPD
95.0,compromised,0.2948,388.67,467.33,1.05,0.05
96.0,normal,0.2041,175.0,251.0,1.0,0.0
96.0,compromised,0.4735,123.5,272.5,1.01,0.01
97.0,normal,0.1565,37.0,209.0,1.0,0.0
97.0,compromised,0.1643,5.0,211.0,1.0,0.0
98.0,normal,0.1147,105.5,326.5,1.0,0.0
98.0,compromised,0.4965,51.0,332.0,0.99,0.0
99.0,normal,0.2497,121.0,201.0,1.0,0.0
99.0,compromised,0.9023,197.0,239.0,1.01,0.01
100.0,normal,0.1185,34.5,274.5,1.0,0.0
100.0,compromised,0.1663,95.5,266.5,0.99,0.0
101.0,normal,0.2195,65.0,196.0,1.0,0.0
101.0,compromised,0.6632,38.0,215.0,1.0,0.0
102.0,normal,0.2232,6.0,243.0,1.0,0.0
102.0,compromised,0.1334,78.5,303.5,1.0,0.0
103.0,normal,0.1487,90.0,289.0,1.0,0.0
103.0,compromised,0.394,113.0,233.0,0.99,0.0
104.0,normal,0.174,50.0,252.0,1.0,0.0
104.0,compromised,0.7906,53.5,285.5,0.99,0.0
105.0,normal,0.1948,94.0,218.0,1.0,0.0
105.0,compromised,0.4079,9.5,310.5,1.0,0.0
106.0,normal,0.1782,97.0,225.0,1.0,0.0
106.0,compromised,0.644,120.5,202.5,1.02,0.02
107.0,normal,0.1256,85.0,314.0,1.0,0.0
107.0,compromised,0.8494,70.5,320.5,1.0,0.0
108.0,normal,0.2242,23.0,267.0,1.0,0.0
108.0,compromised,0.5579,128.0,255.0,1.0,0.0
109.0,normal,0.2319,30.0,258.0,1.0,0.0
109.0,compromised,0.2025,105.0,222.0,1.0,0.0
110.0,normal,0.0899,13.0,332.0,1.0,0.0
110.0,compromised,0.1197,51.0,297.0,1.01,0.01
111.0,normal,0.1382,37.0,224.0,1.0,0.0
111.0,compromised,0.5919,308.67,446.33,1.0,0.0
112.0,normal,0.1925,147.0,225.0,1.0,0.0
112.0,compromised,0.362,214.0,251.0,1.0,0.0
113.0,normal,0.155,77.0,266.0,1.0,0.0
113.0,compromised,0.5893,54.0,202.0,1.0,0.0
114.0,normal,0.1458,32.0,218.0,1.0,0.0
114.0,compromised,1.0458,60.5,270.5,1.0,0.0
115.0,normal,0.1757,65.0,233.0,1.0,0.0
115.0,compromised,0.2063,71.0,201.0,1.0,0.0
116.0,normal,0.2353,163.0,197.0,1.0,0.0
116.0,compromised,0.5997,150.5,220.5,1.0,0.0
117.0,normal,0.1272,166.5,350.5,1.0,0.0
117.0,compromised,0.255,49.0,266.0,1.0,0.0
118.0,normal,0.112,39.0,256.0,1.0,0.0
118.0,compromised,0.3571,385.67,529.33,1.0,0.0
119.0,normal,0.2078,20.0,266.0,1.0,0.0
119.0,compromised,0.652,300.67,404.33,1.01,0.01
120.0,normal,0.1388,20.0,288.0,1.0,0.0
120.0,compromised,0.263,13.0,265.0,1.01,0.01
121.0,normal,0.195,11.0,258.0,1.0,0.0
121.0,compromised,0.2328,7.5,248.5,1.03,0.03
122.0,normal,0.1261,101.0,341.0,1.0,0.0
122.0,compromised,0.4336,246.67,448.33,1.0,0.0
123.0,normal,0.1336,10.0,230.0,1.0,0.0
123.0,compromised,0.7812,48.5,257.5,1.0,0.0
124.0,normal,0.1268,31.0,263.0,1.0,0.0
124.0,compromised,0.2103,67.0,271.0,1.0,0.0
125.0,normal,0.1462,58.0,261.0,1.0,0.0
125.0,compromised,0.1605,38.0,250.0,1.0,0.0
126.0,normal,0.2606,80.0,227.0,1.0,0.0
126.0,compromised,0.3577,100.0,282.0,1.0,0.0
127.0,normal,0.202,2.5,227.5,1.0,0.0
127.0,compromised,0.1341,263.5,306.5,1.0,0.0
128.0,normal,0.1503,64.0,216.0,1.0,0.0
128.0,compromised,0.152,42.0,229.0,1.0,0.0
129.0,normal,0.1685,52.0,301.0,1.0,0.0
129.0,compromised,0.1899,148.5,286.5,1.0,0.0
130.0,normal,0.192,3.5,347.5,1.0,0.0
130.0,compromised,0.2117,46.0,272.0,1.0,0.0
131.0,normal,0.1526,208.5,378.5,1.0,0.0
131.0,compromised,0.2112,76.5,326.5,1.0,0.0
132.0,normal,0.1588,160.0,285.0,1.0,0.0
132.0,compromised,0.2376,116.0,302.0,1.0,0.0
133.0,normal,0.1376,26.0,238.0,1.0,0.0
133.0,compromised,0.2073,67.0,211.0,1.0,0.0
134.0,normal,0.1438,26.0,267.0,1.0,0.0
134.0,compromised,0.7498,12.5,296.5,1.0,0.0
135.0,normal,0.1334,56.0,262.0,1.0,0.0
135.0,compromised,0.1657,6.5,249.5,1.01,0.01
136.0,normal,0.1974,109.0,222.0,1.0,0.0
136.0,compromised,0.1682,5.0,285.0,1.0,0.0
137.0,normal,0.1335,81.0,253.0,1.0,0.0
137.0,compromised,0.2539,67.0,393.0,1.0,0.0
138.0,normal,0.1972,12.0,229.0,1.0,0.0
138.0,compromised,0.1532,202.5,260.5,1.0,0.0
139.0,normal,0.1588,56.0,316.0,1.0,0.0
139.0,compromised,0.2631,69.5,186.5,1.01,0.01
140.0,normal,0.1468,65.0,209.0,1.0,0.0
140.0,compromised,0.2983,352.33,468.67,1.0,0.0
141.0,normal,0.1495,20.0,313.0,1.0,0.0
141.0,compromised,0.1862,168.0,321.0,1.06,0.06
142.0,normal,0.223,83.0,242.0,1.0,0.0
142.0,compromised,0.2741,44.0,256.0,1.01,0.01
143.0,normal,0.1304,1.0,259.0,1.0,0.0
143.0,compromised,0.608,253.67,294.67,1.0,0.0
144.0,normal,0.1155,38.0,289.0,1.0,0.0
144.0,compromised,0.8748,383.33,559.67,1.0,0.0
145.0,normal,0.2227,45.0,224.0,1.0,0.0
145.0,compromised,0.2022,129.5,318.5,1.01,0.01
146.0,normal,0.2417,78.0,239.0,1.0,0.0
146.0,compromised,0.4102,367.33,478.67,1.01,0.01
147.0,normal,0.3215,48.0,211.0,1.0,0.0
147.0,compromised,0.9321,226.67,327.33,1.0,0.0
148.0,normal,0.2701,72.5,197.5,1.0,0.0
148.0,compromised,0.3655,171.67,238.33,1.0,0.0
149.0,normal,0.4194,108.0,117.0,1.0,0.0
149.0,compromised,0.206,33.0,229.0,0.98,0.0
150.0,normal,0.4304,99.0,171.0,1.0,0.0
150.0,compromised,0.2565,29.0,170.0,1.0,0.0
151.0,normal,0.3153,18.0,171.0,1.0,0.0
151.0,compromised,0.6862,225.33,267.67,1.01,0.01
152.0,normal,0.5702,50.0,130.0,1.0,0.0
152.0,compromised,0.6721,254.0,331.0,1.0,0.0
153.0,normal,0.3177,40.0,140.0,1.0,0.0
153.0,compromised,0.7558,150.0,234.0,1.0,0.0
154.0,normal,0.2879,62.0,165.0,1.0,0.0
154.0,compromised,0.8566,178.0,247.0,1.0,0.0
155.0,normal,0.2184,12.0,197.0,1.0,0.0
155.0,compromised,0.5985,164.67,211.67,1.01,0.01
156.0,normal,0.5252,71.0,144.0,1.0,0.0
156.0,compromised,0.2087,103.0,191.0,1.01,0.01
157.0,normal,0.328,3.0,150.0,1.0,0.0
157.0,compromised,0.4028,50.0,185.0,1.02,0.02
158.0,normal,0.2556,43.0,210.0,1.0,0.0
158.0,compromised,0.3461,36.0,176.0,1.0,0.0
159.0,normal,0.2,39.0,196.0,1.0,0.0
159.0,compromised,0.6779,208.67,262.67,1.0,0.0
160.0,normal,0.2869,35.0,251.0,1.0,0.0
160.0,compromised,0.5302,249.67,310.33,1.04,0.04
161.0,normal,0.3556,34.5,195.5,1.0,0.0
161.0,compromised,0.3769,212.0,286.0,1.0,0.0
162.0,normal,0.2929,67.0,176.0,1.0,0.0
162.0,compromised,0.9924,154.33,220.33,0.98,0.0
163.0,normal,0.1703,126.0,218.0,1.0,0.0
163.0,compromised,0.598,174.67,239.67,1.0,0.0
164.0,normal,0.4283,49.0,215.0,1.0,0.0
164.0,compromised,0.6194,202.0,293.0,1.0,0.0
165.0,normal,0.5226,44.0,119.0,1.0,0.0
165.0,compromised,0.8635,234.0,292.0,1.05,0.05
166.0,normal,0.3728,50.0,173.0,1.0,0.0
166.0,compromised,0.4705,209.67,316.67,1.0,0.0
167.0,normal,0.2659,36.0,142.0,1.0,0.0
167.0,compromised,0.3825,22.0,191.0,1.0,0.0
168.0,normal,0.1781,83.0,203.0,1.0,0.0
168.0,compromised,0.6897,30.0,153.0,1.0,0.0
169.0,normal,0.4049,4.0,148.0,1.0,0.0
169.0,compromised,0.6973,39.0,166.0,1.0,0.0
170.0,normal,0.3306,23.0,154.0,1.0,0.0
170.0,compromised,0.3753,240.67,293.33,1.0,0.0
171.0,normal,0.3565,32.0,156.0,1.0,0.0
171.0,compromised,0.4141,242.0,297.0,1.0,0.0
172.0,normal,0.3131,6.0,197.0,1.0,0.0
172.0,compromised,0.6513,244.67,253.67,0.99,0.0
173.0,normal,0.3372,24.0,171.0,1.0,0.0
173.0,compromised,0.6815,263.0,346.0,1.02,0.02
174.0,normal,0.441,12.0,150.0,1.0,0.0
174.0,compromised,0.52,165.0,240.0,1.02,0.02
175.0,normal,0.2726,68.0,208.0,1.0,0.0
175.0,compromised,0.5725,292.33,396.67,1.0,0.0
176.0,normal,0.3458,93.0,159.0,1.0,0.0
176.0,compromised,0.3909,165.0,248.0,1.0,0.0
177.0,normal,0.4677,95.0,145.0,1.0,0.0
177.0,compromised,0.3197,81.0,178.0,1.0,0.0
178.0,normal,0.3011,17.0,165.0,1.0,0.0
178.0,compromised,0.3644,22.5,198.5,1.0,0.0
179.0,normal,0.3203,61.5,229.5,1.0,0.0
179.0,compromised,0.4877,293.67,373.33,1.0,0.0
180.0,normal,0.4399,83.0,166.0,1.0,0.0
180.0,compromised,0.3544,41.5,191.5,1.0,0.0
181.0,normal,0.2854,92.5,215.5,1.0,0.0
181.0,compromised,0.7422,131.67,195.33,1.0,0.0
182.0,normal,0.3768,1.0,184.0,1.0,0.0
182.0,compromised,0.6498,197.0,315.0,1.02,0.02
183.0,normal,0.4274,18.0,187.0,1.0,0.0
183.0,compromised,0.5338,207.33,291.67,1.0,0.0
184.0,normal,0.3165,116.0,175.0,1.0,0.0
184.0,compromised,0.5598,211.0,266.0,1.01,0.01
185.0,normal,0.284,57.0,164.0,1.0,0.0
185.0,compromised,0.7742,197.0,297.0,1.0,0.0
186.0,normal,0.3009,12.0,118.0,1.0,0.0
186.0,compromised,0.9771,3.5,198.5,1.0,0.0
187.0,normal,0.1822,134.0,207.0,1.0,0.0
187.0,compromised,0.4354,21.0,194.0,1.0,0.0
188.0,normal,0.2871,53.0,188.0,1.0,0.0
188.0,compromised,0.4477,197.0,279.0,1.0,0.0
189.0,normal,0.2605,28.0,198.0,1.0,0.0
189.0,compromised,0.5499,273.0,369.0,1.0,0.0
190.0,normal,0.2602,83.0,172.0,1.0,0.0
190.0,compromised,0.2634,30.0,153.0,1.0,0.0
191.0,normal,0.373,31.0,169.0,1.0,0.0
191.0,compromised,0.7932,238.0,311.0,1.0,0.0
192.0,normal,0.1432,145.0,255.0,1.0,0.0
192.0,compromised,0.3673,341.33,360.33,1.01,0.01
193.0,normal,0.5136,39.0,121.0,1.0,0.0
193.0,compromised,0.3465,19.0,178.0,1.0,0.0
194.0,normal,0.3099,58.0,208.0,1.0,0.0
194.0,compromised,0.9031,60.0,136.0,1.0,0.0
195.0,normal,0.3646,19.0,133.0,1.0,0.0
195.0,compromised,0.6143,172.33,223.33,1.01,0.01
196.0,normal,0.2545,4.0,160.0,1.0,0.0
196.0,compromised,0.5592,266.67,329.33,1.0,0.0
197.0,normal,0.252,16.0,213.0,1.0,0.0
197.0,compromised,0.7242,259.0,325.0,1.0,0.0
198.0,normal,0.3827,19.0,185.0,1.0,0.0
198.0,compromised,0.2934,15.5,230.5,1.01,0.01
199.0,normal,0.3898,78.0,126.0,1.0,0.0
199.0,compromised,0.4538,269.33,357.33,1.01,0.01
200.0,normal,0.2014,64.0,195.0,1.0,0.0
200.0,compromised,0.6004,83.5,245.5,1.0,0.0
201.0,normal,0.2459,60.0,201.0,1.0,0.0
201.0,compromised,0.5274,251.67,307.33,0.99,0.0
202.0,normal,0.341,39.0,127.0,1.0,0.0
202.0,compromised,0.584,209.33,270.67,1.0,0.0
203.0,normal,0.4069,15.0,171.0,1.0,0.0
203.0,compromised,0.6123,149.33,227.67,1.0,0.0
204.0,normal,0.3154,74.0,199.0,1.0,0.0
204.0,compromised,0.5795,220.67,283.33,1.01,0.01
205.0,normal,0.5504,36.0,164.0,1.0,0.0
205.0,compromised,0.8825,2.0,150.0,1.07,0.07
206.0,normal,0.2818,57.5,200.5,1.0,0.0
206.0,compromised,0.7317,170.33,228.67,1.0,0.0
207.0,normal,0.1878,58.0,173.0,1.0,0.0
207.0,compromised,0.5659,216.33,296.67,1.0,0.0
208.0,normal,0.5759,12.0,148.0,1.0,0.0
208.0,compromised,0.9788,111.5,181.5,1.0,0.0
209.0,normal,0.2446,61.0,208.0,1.0,0.0
209.0,compromised,0.5475,220.67,306.33,0.99,0.0
210.0,normal,0.3417,27.0,214.0,1.0,0.0
210.0,compromised,0.7643,47.0,213.0,1.01,0.01
211.0,normal,0.3078,24.0,149.0,1.0,0.0
211.0,compromised,0.7258,210.67,268.67,0.99,0.0
212.0,normal,0.1808,89.5,244.5,1.0,0.0
212.0,compromised,0.6993,286.67,360.33,1.01,0.01
213.0,normal,0.2276,36.0,165.0,1.0,0.0
213.0,compromised,0.6966,184.33,244.33,0.99,0.0
214.0,normal,0.2704,25.5,187.5,1.0,0.0
214.0,compromised,0.3244,270.0,341.0,1.0,0.0
215.0,normal,0.2094,21.0,198.0,1.0,0.0
215.0,compromised,0.7267,218.33,330.67,0.99,0.0
216.0,normal,0.3038,52.0,187.0,1.0,0.0
216.0,compromised,0.7314,160.67,266.67,1.0,0.0
217.0,normal,0.6094,78.0,114.0,1.0,0.0
217.0,compromised,0.7753,219.33,311.67,1.0,0.0
218.0,normal,0.3377,58.0,204.0,1.0,0.0
218.0,compromised,0.2679,35.5,169.5,1.0,0.0
219.0,normal,0.2061,17.0,251.0,1.0,0.0
219.0,compromised,0.3007,301.33,402.67,1.01,0.01
220.0,normal,0.3532,11.0,194.0,1.0,0.0
220.0,compromised,0.5364,254.67,330.33,1.0,0.0
221.0,normal,0.2626,80.0,213.0,1.0,0.0
221.0,compromised,0.4517,234.33,290.67,1.01,0.01
222.0,normal,0.4399,53.0,148.0,1.0,0.0
222.0,compromised,0.7367,205.0,303.0,1.0,0.0
223.0,normal,0.2077,75.0,198.0,1.0,0.0
223.0,compromised,0.3833,195.33,269.67,1.0,0.0
224.0,normal,0.2567,7.0,236.0,1.0,0.0
224.0,compromised,0.3873,30.0,188.0,1.07,0.07
225.0,normal,0.4299,141.0,160.0,1.0,0.0
225.0,compromised,0.415,182.67,265.33,1.0,0.0
226.0,normal,0.5085,40.0,148.0,1.0,0.0
226.0,compromised,0.7623,46.0,164.0,1.0,0.0
227.0,normal,0.1984,93.5,246.5,1.0,0.0
227.0,compromised,0.2408,166.0,325.0,1.0,0.0
228.0,normal,0.3278,22.0,144.0,1.0,0.0
228.0,compromised,0.5105,198.67,286.67,1.01,0.01
229.0,normal,0.2432,105.0,198.0,1.0,0.0
229.0,compromised,0.3472,281.33,360.67,0.98,0.0
230.0,normal,0.2705,77.5,184.5,1.0,0.0
230.0,compromised,0.376,262.0,341.0,1.0,0.0
231.0,normal,0.4812,105.0,174.0,1.0,0.0
231.0,compromised,0.524,234.33,314.67,1.01,0.01
232.0,normal,0.3641,50.0,194.0,1.0,0.0
232.0,compromised,0.5391,85.5,221.5,1.0,0.0
233.0,normal,0.524,48.0,106.0,1.0,0.0
233.0,compromised,0.4868,82.0,157.0,1.01,0.01
234.0,normal,0.3606,51.0,157.0,1.0,0.0
234.0,compromised,1.0858,148.33,227.33,1.01,0.01
235.0,normal,0.5352,65.0,165.0,1.0,0.0
235.0,compromised,0.6126,39.0,149.0,1.0,0.0
236.0,normal,0.3827,42.0,195.0,1.0,0.0
236.0,compromised,0.5363,163.0,239.0,1.0,0.0
237.0,normal,0.336,3.0,141.0,1.0,0.0
237.0,compromised,0.1806,82.5,237.5,1.0,0.0
238.0,normal,0.4263,36.0,145.0,1.0,0.0
238.0,compromised,0.5389,212.0,302.0,0.99,0.0
239.0,normal,0.3292,43.0,193.0,1.0,0.0
239.0,compromised,0.349,37.5,196.5,0.99,0.0
240.0,normal,0.213,25.0,222.0,1.0,0.0
240.0,compromised,0.606,181.33,248.33,1.0,0.0
241.0,normal,0.3834,25.0,157.0,1.0,0.0
241.0,compromised,0.4104,239.67,330.33,1.0,0.0
242.0,normal,0.2593,81.0,179.0,1.0,0.0
242.0,compromised,0.2906,73.0,200.0,1.0,0.0
243.0,normal,0.2828,27.0,155.0,1.0,0.0
243.0,compromised,0.1679,105.5,211.5,0.98,0.0
244.0,normal,0.4427,57.0,159.0,1.0,0.0
244.0,compromised,0.544,238.33,307.67,1.01,0.01
245.0,normal,0.3017,51.0,197.0,1.0,0.0
