experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
158.0,normal,0.21,25.0,21.0,0.0,0.0
158.0,compromised,0.4178999999999999,13.0,12.5,0.01,0.01
159.0,normal,0.3526,28.5,25.5,0.0,0.0
159.0,compromised,0.8102,31.0,33.5,0.04,0.03
160.0,normal,0.2282999999999999,33.5,26.5,0.0,0.0
160.0,compromised,1.0358,56.17,50.67,0.31,0.31
161.0,normal,0.3204,31.5,32.5,0.0,0.0
161.0,compromised,0.7721,32.0,27.0,0.0,0.0
162.0,normal,0.3715,25.0,22.5,0.0,0.0
162.0,compromised,0.7358,32.33,53.33,0.13,0.0
163.0,normal,0.2814,56.5,35.5,0.0,0.0
163.0,compromised,0.7167,30.0,31.0,0.02,0.0
164.0,normal,0.1741999999999999,20.0,29.0,0.0,0.0
164.0,compromised,0.5770000000000001,18.67,30.0,0.0,0.0
165.0,normal,0.9583,8.0,20.0,0.0,0.0
165.0,compromised,0.6321,50.33,38.33,0.25,0.25
166.0,normal,0.2207,12.0,24.0,0.0,0.0
166.0,compromised,0.4197999999999999,27.0,40.67,0.1499999999999999,0.14
167.0,normal,0.244,22.0,26.5,0.0,0.0
167.0,compromised,0.3734,19.0,26.5,0.1799999999999999,0.17
168.0,normal,0.3275,33.5,23.0,0.0,0.0
168.0,compromised,2.5707,14.5,21.5,0.0,0.0
169.0,normal,0.345,16.5,16.0,0.0,0.0
169.0,compromised,0.6402,15.0,28.5,0.0,0.0
170.0,normal,0.2179999999999999,17.0,19.0,0.0,0.0
170.0,compromised,0.6766,33.67,24.67,0.1499999999999999,0.13
171.0,normal,0.2504,20.5,17.0,0.0,0.0
171.0,compromised,0.6823,31.17,23.33,0.09,0.08
172.0,normal,0.5671,24.5,21.5,0.0,0.0
172.0,compromised,0.5412,35.0,35.0,0.0899999999999999,0.03
173.0,normal,0.3916,17.0,27.5,0.0,0.0
173.0,compromised,0.709,54.17,66.83,0.09,0.09
